device_id,timestamp,kwh,location
E-001,2025-10-01T00:00:00+00:00,0.999,CLUJ-B
E-001,2025-10-01T01:00:00+00:00,0.872,CLUJ-B
E-001,2025-10-01T02:00:00+00:00,1.03,CLUJ-B
E-001,2025-10-01T03:00:00+00:00,1.205,CLUJ-B
E-001,2025-10-01T04:00:00+00:00,0.853,CLUJ-B
E-001,2025-10-01T05:00:00+00:00,0.853,CLUJ-B
E-001,2025-10-01T06:00:00+00:00,1.216,CLUJ-B
E-001,2025-10-01T07:00:00+00:00,1.053,CLUJ-B
E-001,2025-10-01T08:00:00+00:00,0.806,CLUJ-B
E-001,2025-10-01T09:00:00+00:00,1.009,CLUJ-B
E-001,2025-10-01T10:00:00+00:00,0.807,CLUJ-B
E-001,2025-10-01T11:00:00+00:00,0.807,CLUJ-B
E-001,2025-10-01T12:00:00+00:00,0.948,CLUJ-B
E-001,2025-10-01T13:00:00+00:00,0.517,CLUJ-B
E-001,2025-10-01T14:00:00+00:00,0.555,CLUJ-B
E-001,2025-10-01T15:00:00+00:00,0.788,CLUJ-B
E-001,2025-10-01T16:00:00+00:00,0.697,CLUJ-B
E-001,2025-10-01T17:00:00+00:00,0.963,CLUJ-B
E-001,2025-10-01T18:00:00+00:00,0.718,CLUJ-B
E-001,2025-10-01T19:00:00+00:00,0.618,CLUJ-B
E-001,2025-10-01T20:00:00+00:00,1.193,CLUJ-B
E-001,2025-10-01T21:00:00+00:00,0.855,CLUJ-B
E-001,2025-10-01T22:00:00+00:00,0.914,CLUJ-B
E-001,2025-10-01T23:00:00+00:00,0.615,CLUJ-B
E-001,2025-10-02T00:00:00+00:00,0.791,CLUJ-B
E-001,2025-10-02T01:00:00+00:00,0.922,CLUJ-B
E-001,2025-10-02T02:00:00+00:00,0.67,CLUJ-B
E-001,2025-10-02T03:00:00+00:00,0.975,CLUJ-B
E-001,2025-10-02T04:00:00+00:00,0.78,CLUJ-B
E-001,2025-10-02T05:00:00+00:00,0.842,CLUJ-B
E-001,2025-10-02T06:00:00+00:00,0.78,CLUJ-B
E-001,2025-10-02T07:00:00+00:00,1.27,CLUJ-B
E-001,2025-10-02T08:00:00+00:00,0.897,CLUJ-B
E-001,2025-10-02T09:00:00+00:00,0.688,CLUJ-B
E-001,2025-10-02T10:00:00+00:00,1.065,CLUJ-B
E-001,2025-10-02T11:00:00+00:00,0.656,CLUJ-B
E-001,2025-10-02T12:00:00+00:00,0.942,CLUJ-B
E-001,2025-10-02T13:00:00+00:00,0.508,CLUJ-B
E-001,2025-10-02T14:00:00+00:00,0.634,CLUJ-B
E-001,2025-10-02T15:00:00+00:00,0.939,CLUJ-B
E-001,2025-10-02T16:00:00+00:00,1.048,CLUJ-B
E-001,2025-10-02T17:00:00+00:00,0.934,CLUJ-B
E-001,2025-10-02T18:00:00+00:00,0.877,CLUJ-B
E-001,2025-10-02T19:00:00+00:00,0.84,CLUJ-B
E-001,2025-10-02T20:00:00+00:00,0.604,CLUJ-B
E-001,2025-10-02T21:00:00+00:00,0.756,CLUJ-B
E-001,2025-10-02T22:00:00+00:00,0.808,CLUJ-B
E-001,2025-10-02T23:00:00+00:00,1.111,CLUJ-B
E-001,2025-10-03T00:00:00+00:00,0.969,CLUJ-B
E-001,2025-10-03T01:00:00+00:00,0.547,CLUJ-B
E-001,2025-10-03T02:00:00+00:00,0.965,CLUJ-B
E-001,2025-10-03T03:00:00+00:00,0.823,CLUJ-B
E-001,2025-10-03T04:00:00+00:00,0.765,CLUJ-B
E-001,2025-10-03T05:00:00+00:00,1.022,CLUJ-B
E-001,2025-10-03T06:00:00+00:00,1.106,CLUJ-B
E-001,2025-10-03T07:00:00+00:00,1.086,CLUJ-B
E-001,2025-10-03T08:00:00+00:00,0.732,CLUJ-B
E-001,2025-10-03T09:00:00+00:00,0.838,CLUJ-B
E-001,2025-10-03T10:00:00+00:00,0.966,CLUJ-B
E-001,2025-10-03T11:00:00+00:00,1.095,CLUJ-B
E-001,2025-10-03T12:00:00+00:00,0.804,CLUJ-B
E-001,2025-10-03T13:00:00+00:00,0.863,CLUJ-B
E-001,2025-10-03T14:00:00+00:00,0.679,CLUJ-B
E-001,2025-10-03T15:00:00+00:00,0.661,CLUJ-B
E-001,2025-10-03T16:00:00+00:00,1.063,CLUJ-B
E-001,2025-10-03T17:00:00+00:00,1.171,CLUJ-B
E-001,2025-10-03T18:00:00+00:00,0.886,CLUJ-B
E-001,2025-10-03T19:00:00+00:00,1.101,CLUJ-B
E-001,2025-10-03T20:00:00+00:00,0.972,CLUJ-B
E-001,2025-10-03T21:00:00+00:00,0.771,CLUJ-B
E-001,2025-10-03T22:00:00+00:00,0.972,CLUJ-B
E-001,2025-10-03T23:00:00+00:00,1.208,CLUJ-B
E-001,2025-10-04T00:00:00+00:00,0.893,CLUJ-B
E-001,2025-10-04T01:00:00+00:00,1.213,CLUJ-B
E-001,2025-10-04T02:00:00+00:00,0.376,CLUJ-B
E-001,2025-10-04T03:00:00+00:00,1.064,CLUJ-B
E-001,2025-10-04T04:00:00+00:00,0.917,CLUJ-B
E-001,2025-10-04T05:00:00+00:00,0.84,CLUJ-B
E-001,2025-10-04T06:00:00+00:00,0.918,CLUJ-B
E-001,2025-10-04T07:00:00+00:00,0.502,CLUJ-B
E-001,2025-10-04T08:00:00+00:00,0.856,CLUJ-B
E-001,2025-10-04T09:00:00+00:00,0.971,CLUJ-B
E-001,2025-10-04T10:00:00+00:00,1.196,CLUJ-B
E-001,2025-10-04T11:00:00+00:00,0.796,CLUJ-B
E-001,2025-10-04T12:00:00+00:00,0.738,CLUJ-B
E-001,2025-10-04T13:00:00+00:00,0.8,CLUJ-B
E-001,2025-10-04T14:00:00+00:00,1.083,CLUJ-B
E-001,2025-10-04T15:00:00+00:00,0.966,CLUJ-B
E-001,2025-10-04T16:00:00+00:00,0.794,CLUJ-B
E-001,2025-10-04T17:00:00+00:00,1.003,CLUJ-B
E-001,2025-10-04T18:00:00+00:00,0.919,CLUJ-B
E-001,2025-10-04T19:00:00+00:00,1.094,CLUJ-B
E-001,2025-10-04T20:00:00+00:00,0.76,CLUJ-B
E-001,2025-10-04T21:00:00+00:00,0.834,CLUJ-B
E-001,2025-10-04T22:00:00+00:00,0.822,CLUJ-B
E-001,2025-10-04T23:00:00+00:00,0.607,CLUJ-B
E-001,2025-10-05T00:00:00+00:00,0.959,CLUJ-B
E-001,2025-10-05T01:00:00+00:00,0.952,CLUJ-B
E-001,2025-10-05T02:00:00+00:00,0.901,CLUJ-B
E-001,2025-10-05T03:00:00+00:00,0.853,CLUJ-B
E-001,2025-10-05T04:00:00+00:00,0.617,CLUJ-B
E-001,2025-10-05T05:00:00+00:00,0.816,CLUJ-B
E-001,2025-10-05T06:00:00+00:00,0.831,CLUJ-B
E-001,2025-10-05T07:00:00+00:00,0.74,CLUJ-B
E-001,2025-10-05T08:00:00+00:00,0.868,CLUJ-B
E-001,2025-10-05T09:00:00+00:00,0.981,CLUJ-B
E-001,2025-10-05T10:00:00+00:00,1.277,CLUJ-B
E-001,2025-10-05T11:00:00+00:00,0.935,CLUJ-B
E-001,2025-10-05T12:00:00+00:00,0.952,CLUJ-B
E-001,2025-10-05T13:00:00+00:00,0.885,CLUJ-B
E-001,2025-10-05T14:00:00+00:00,0.516,CLUJ-B
E-001,2025-10-05T15:00:00+00:00,0.895,CLUJ-B
E-001,2025-10-05T16:00:00+00:00,0.912,CLUJ-B
E-001,2025-10-05T17:00:00+00:00,1.393,CLUJ-B
